code,name,name_short,name_tv,gender,function,country_code,country,country_full,nationality,nationality_full,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
1898335,REID Emma,REID E,Emma REID,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0,['Judo'],['Women -78 kg'],24-05-1995,CAMBRIDGE,Great Britain,WALSALL,Great Britain,Speedy Reidy,"Golf, walks, baking",Athlete,Graduated in 2017 with a BA Hons First Class in Event Management from Coventry University (GBR),"Boyfriend, Kieran Allsopp. Father, Iain. Mother, Lesley. Sister, Kelly",English,Club: Steve Sandy.<br>National: Jamie Johnson (GBR),"""My mum took me down to a club as her and my dad both did judo."" (Athlete, 6 Jun 2024)","Judoka Sally Conway (GBR), 2016 Olympic bronze medallist (-70kg), 2019 World Championships bronze medallist, 2006 World Junior Championships silver medallist","Her mother. ""I have learnt a lot from her and trust her completely.""","""Never give up."" (Athlete, 6 Jun 2024)","Mother, Lesley Reid (judo), bronze medallist at the 2012 British trials, won the 2011 London Open and won medals at IBSA events for visually impaired athletes","""I don’t really have rituals as I don’t like the idea of not being about to do it."" (Athlete, 6 Jun 2024)",Gymnastics: Competed at national level until 2010
1910689,GERCSAK Szabina,GERCSAK S,Szabina GERCSAK,Female,Athlete,HUN,Hungary,Hungary,Hungary,Hungary,HUN,0,0,['Judo'],"['Women -70 kg', 'Mixed Team']",09-07-1996,MISKOLC,Hungary,MISKOLC,Hungary,"Szúnyog, Cucu. ""Szunyog is mosquito. My coach Akos Braun gave me this name. Cucu is a pig from a cartoon. It is from my younger brother."" (Athlete, 1 May 2024)","Drawing, concerts, music, spending time with family. (JudoInside.com 15 May 2024)",Athlete,"Graduated in 2015 at Nyiregyházi University having studied Sports Management. (Athlete, 1 May 2024)","Mother, Csuka Bernadett. Older Brother, Dávid. Younger brother, Márkó. (Athlete, 1 May 2024)","English, German, Hungarian",National: Akos Braun (HUN),"Because her older brother started and she wanted to try it as well, and she then loved the sport","Judoka Ryoko Tamura-Tani (JPN), one of the few women to have won medals at five consecutive Olympic Games from 1992-2008 (two gold, two silver, one bronze), eight-time world championship medallist (seven gold, one bronze). </p><p>Singer Justin Bieber (USA)","""My mother, because she is a hero. She was fighting her whole life for me and my brothers to have a better life. Now she is sick and it's hard that she is not able to come and support me."" (JudoInside.com, 15 May 2024)","""Work hard, fall down, get up, and try again. Keep trying, and one day it will be your day. Be ready!"" (Athlete, 1 May 2024)","""My father did judo but he did not get results. I am not from a sports family but my parents and grandparents worked hard their whole life."" (Athlete, 1 May 2024)","""Praying, always washing my judogi and my belt, keeping a ping pong ball from my former physio, and having a ritual for packing my bag."" (Athlete, 1 May 2024)","""At school I did some wrestling, football, handball, athletics but I was best at football."" (Athlete, 1 May 2024)"
1911113,UNGVARI Attila,UNGVARI A,Attila UNGVARI,Male,Athlete,HUN,Hungary,Hungary,Hungary,Hungary,HUN,0,0,['Judo'],"['Men -81 kg', 'Mixed Team']",25-10-1988,CEGLED,Hungary,CEGLED,Hungary,"Karvaly. ""I got this nickname from my brothers because of my nose. They often said I have a big nose. Karvaly is actually a bird. Since I broke my nose maybe they are right now."" (Athlete, 26 Jun 2024)","Motorcycling, travelling, card games. ""I have visited a few islands like Madeira, Zakyntos, Corfu, Mallorca. What I like the most is to see beautiful beaches, eating local foods, watching sunrise and sunsets, and I also like that I don't have to rush."" (Athlete, 26 Jun 2024)",Athlete,"Degree in Physical Education teaching, and a judo coach since 2019",Has four older sisters and four older brothers,"English, Hungarian",Club: Kovacs Sandor (Club Budaörsi).</p><p>National: Miklos Ungvari (his brother),"""Because of my older brother Miklos, he was already a judo player back then."" (Athlete, 25 Jun 2024)","""My idol is definitely my mother. She is a very strong and most persistent woman who has gone through a lot in her life but somehow she managed to raise us."" (Athlete, 26 Jun 2024)","""My mother - who else?""","""The bad news is time flies, the good news is you are the captain!"" (Athlete, 25 Jun 2024)","Brother, Miklos Ungvari (judo), silver medallist at the London 2012 Olympic Games. He won world championships bronze medals in 2005, 2007 and 2009 and three European titles in 2002, 2009 and 2011","""Always wearing the same clothes for warm-up."" (Athlete, 25 Jun 2024)",He wrestled when he was young
1914460,AIBEK UULU Kubanychbek,AIBEK UULU K,Kubanychbek AIBEK UULU,Male,Athlete,KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,KGZ,0,0,['Judo'],['Men -66 kg'],28-10-2000,OSH CITY,Kyrgyzstan,BISHKEK,Kyrgyzstan,Kuba,"Playing football with friends, playing computer games. ""And to make my family happy."" (Athlete, 14 Apr 2024)","Athlete. ""For now my priority is sport, I fully dedicated myself to judo."" (Athlete, 14 Apr 2024)",Graduated in 2023 with an Economics degree from OSHMU (KGZ),"Wife, Aelita Atambaeva (married 2023, they were at primary school together). Father, Aibek Joroev. Mother, Nurgul Junusova. Three sisters. One brother","kyrgyz, Russian","Club: Bakyt Jusupov.<br>National: Abdujhalil Junusov, Sergei Kladnov","His father got him interested in sport and took him to judo training at a club. ""My father was a big fan of judo."" (Athlete, 14 Apr 2024)","""I don’t have a person whom I can say that they are my idol or hero, because from my childhood I wanted to be myself an idol for next generation, like my brother."" (Athlete, 14 Apr 2024)","""My parents have been the most influential figures in my professional sports career. They have supported and guided me every step of the way, helping me reach where I am today."" (Athlete, 14 Apr 2024)","""You need to stand firmly on your own, if you see that you can, don’t let others confuse you."" (Athlete, 14 Apr 2024)",,"""I’m a Muslim so I don’t believe in superstitions. My rituals are training, hard work and self-belief."" (Athlete, 14 Apr 2024)",Trained in Greco-Roman wrestling before judo
1925346,SCUTTO Assunta,SCUTTO A,Assunta SCUTTO,Female,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0,['Judo'],"['Women -48 kg', 'Mixed Team']",17-01-2002,NAPLES,Italy,ROME,Italy,Susy,Digital drawing,Military,High school diploma in Scientific Studies in 2021,"Partner, Kevyn Perna. Father, Domenico. Mother, Romina. Sister, Roberta",Italian,Antonio Ciano (ITA),"""To be able to beat my cousin and play with him."" (Athlete, 22 Mar 2024)","""My only hero/idol is God."" (Athlete, 22 Mar 2024)","br>""Kevyn Perna, my boyfriend, is always by my side, supporting me and helping me through difficult times. Without him, I don't know how my life would be now. He fills my life with love and happiness."" (Athlete, 22 Mar 2024)","br>""I can do all things through him who gives me strength (God). I can do anything because God makes the impossible possible."" (Athlete, 22 Mar 2024)","Partner, Kevyn Perna (judo), competes for Italy at international level","""I pray to God to help me be a warrior."" (Athlete, 22 Mar 2024)","To win the Olympic Games and the World Championships, and to have a strong family"
1925515,ESPOSITO Antonio,ESPOSITO A,Antonio ESPOSITO,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0,['Judo'],"['Men -81 kg', 'Mixed Team']",18-11-1994,NAPOLI,Italy,MELITO DI NAPOLI,Italy,"Byorn la corazza (Byorn the armour). ""My friend, who passed away last year, used to call me that. We watched the TV series 'Vikings' together and Byorn was nicknamed like that, for his strength to always rise up and fight. (Athlete, 21 Mar 2024)",Taking walks and shopping,Athlete,"High school diploma, specialising in Economics with a focus on Administration, Finance, and Marketing, obtained in 2017","Partner, Arianna Carieri. Father, Giuseppe. Mother, Rachele. Brothers, Davide and Giovanni",Italian,Club: Raffaele Parlati (ITA).<br>National: Raffaele Parlati (ITA),"His father and uncle were judokas. ""I grew up in the gym, and from the very beginning, I became passionate about this sport."" (Athlete, 21 Mar 2024)","Judoka Fabio Basile (ITA), 2016 Olympic champion (-66kg), 2010 Youth Olympic bronze medallist (mixed team), 2016 European Championships bronze medallist","""I have always been inspired by my best friend Fabio Basile (ITA), who won the Olympic gold medal at Rio 2016. I was there with him as his partner, and he made me experience unique emotions."" (Athlete, 21 Mar 2024)","""If you don't live for something, you will die for nothing."" (Athlete, 21 Mar 2024)","Brother, Giovanni Esposito (judo), competes at international level. Silver medallist at the 2022 European Championships.</p><p>Brother, Davide Esposito (judo), competes at international junior level",,
1925542,RUSSO Savita,RUSSO S,Savita RUSSO,Female,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0,['Judo'],"['Women -63 kg', 'Mixed Team']",18-05-2005,RAGUSA,Italy,RAGUSA,Italy,Sabiba,Going to the beach,Athlete,"Graduated from scientific high school in June 2024. (Athlete, 4 Jul 2024)","Father, Salvatore (called 'Batu' by Savita). Mother, Marica. No siblings",Italian,Club: Maurizio Pelligra,"""A schoolmate of mine recommended judo to me."" (Athlete, 20 Jun 2024)","Judoka Clarisse Agbegnenou (FRA), three-time Olympic medallist - two 2020 gold (mixed team, half middleweight 63kg) and one 2016 silver (half-middleweight 63kg). </p><p>Judoka Joshiro Maruyama (JPN), four-time world championship -66kg medallist (2019 and 2021 gold, 2022 and 2023 silver).</p><p>Judoka Toshihiko Koga (JPN), two-time Olympic medallist (1992 gold, 1996 silver), four-time world championship medallist (three gold, one bronze)","""My mother because she is the best and always supports me."" (Athlete, 20 Jun 2024)","""Empty mind, present time in the absence of fears and desires."" (Athlete, 20 Jun 2024)","Father, Salvatore (handball), played in the national handball team",,"Basketball, swimming, artistic gymnastics, dance, horse riding and skating"
1925751,ZACHOVA Renata,ZACHOVA R,Renata ZACHOVA,Female,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0,['Judo'],['Women -63 kg'],31-05-2000,CESKE BUDEJOVICE,Czechia,OLOMOUC,Czechia,Renca,Building things from Lego,Student,Graduated in 2019 from Gymnasium Cajkovskeho (CZE),"Twin brother, Petr","Czech, English",National/Club: Jiri Stepan (CZE),Her twin brother Petr and a school friend started judo when they were six. She started one year later,"Judoka David Klammert (CZE), 2020 Olympian, two-time world championship team member (2017, 2022). </p><p>""Klammert is my idol as he is a hard worker."" (Athlete, 25 Apr 2024)","Her family, and her coach. ""It's hard to say only one person. My family always helped me with everything, and my coach and his family also support me when I am so far from home."" (Athlete, 25 Apr 2024)","""It's not about how hard you hit. It's about how hard you can get hit and keep moving forward, how much you can take and keep moving forward. That's how winning is done."" - Rocky Balboa",,She bumps fist with her coach for luck,
1928906,RASOANAIVO RAZAFY Aina Laura,RASOANAIVO RAZAFY,Aina Laura RASOANAIVO RAZAFY,Female,Athlete,MAD,Madagascar,Madagascar,Madagascar,Madagascar,MAD,0,0,['Judo'],['Women -70 kg'],24-01-2004,ANTANANARIVO,Madagascar,ANTANANARIVO,Madagascar,Lau,"Reading literature, dancing",Student,Studying Physiotherapy at university,"Father, Luc. Mother, Edith Andrianarisandy. Brother, Lucas","English, French, Malgache",Mamy Randriamasinoro,She was curious to give it a try,,"""Myself. I have been alone often."" (Athlete, 8 May 2024)","""Suffering is what helps us to progress, and without patience we achieve nothing."" (Athlete, 8 May 2024)","Father, Luc Rasoanaivo Razafy (judo), represented Madagascar at the Barcelona 1992 Olympic Games.</p><p>Brother, Lucas Rasoanaivo Razafy (judo), competes for Madagascar","Listens to music before and during each event. ""I love deep house music. It's the type of music that helps me to perform."" (Athlete, 8 May 2024)",Brazilian Jiu-Jitsu: Competed at junior international level
1941049,SAMARDZIC Aleksandra,SAMARDZIC A,Aleksandra SAMARDZIC,Female,Athlete,BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,Bosnia & Herzegovina,Bosnia and Herzegovina,BIH,0,0,['Judo'],['Women -70 kg'],23-09-1997,TREBINJE,Bosnia & Herzegovina,SARAJEVO,Bosnia & Herzegovina,"Aleks, Acika","Music, books, watching Spanish TV shows on Netflix",Athlete,Graduated in 2020 with a Bachelor's of Communications. Currently studying for a Master's in Public Relations,"Father, Jovo. Mother, Mila. Sisters, Sanja and Andjela","English, Serbian",Branislav Crnogorac (BIH),Her father was a judoka and opened his own club. He took her to her first judo training,"Tennis player Novak Djokovic (SRB), has won an all-time record 24 Grand Slam men's singles titles (as of 10 SEP 2023), 2008 Olympic bronze medallist (singles), four-time Olympian (2008, 2012, 2016, 2020)","Her father. ""If it wasn't for him, I would never have entered the world of judo. He was my first coach and my biggest supporter from the first training session until today.""","""Work hard, give your best and rely only on yourself. A lot of people can cheer for you, love you and want to help you, but you are the one who has to fight and win for yourself."" (Athlete, 14 Apr 2024)","Sister, Andjela Samardzic (judo), won the 2023 European Open in Sarajevo, and competed at the 2023 World Championships","""The most important ritual for me is prayer. It is part of my everyday routine and also before and during competition."" (Athlete, 14 Apr 2024)",
1943497,COSTA Catarina,COSTA C,Catarina COSTA,Female,Athlete,POR,Portugal,Portugal,Portugal,Portugal,POR,0,0,['Judo'],['Women -48 kg'],21-09-1996,COIMBRA,Portugal,COIMBRA,Portugal,CC. Pocket Rocket. Formiga Atomica (translates as Atomic Ant and given to her by coach Joao Neto in 2011 on account of her explosive attacking style),"Cooking, skateboarding, spending time with friends, going to the swimming pool and beach","Athlete, student","Master's degree in Medicine at Faculty of Medicine at University of Coimbra (Coimbra, POR)","Father, Antonio Costa. Mother, Helena Mesquita. Younger sister, Mariana. Brother, Goncalo","English, French, Portuguese, Spanish",National: Joao Neto (POR),"""I was about to play football with the boys, because I have always liked sports, and he asked me if I wanted to practise judo. I didn't know what it was, only that it was practised with a kimono, but as I've always been very curious I went and did a first training. I came back for the second training, for the third one... I never stopped."" (YouTube, 9 Mar 2023)","Tiago Alves, an athlete from her club who died at 18 years old in 2010 after suffering from cancer. “He had the dream of going to the Olympics and that always inspired me. He will always be an idol to me.” (Athlete, 20 Mar 2024)","Coach Joao Neto. ""He’s one of my best friends, family. He helps me to be a better athlete but also a better person."" (Athlete, 20 Mar 2024)","""Work hard in silence. Let success be your noise."" (Instagram, 1 Jan 2024)</p><p>""Always be the hardest worker in the room and try to do my best in every little thing."" (Athlete 20 Mar 2024)","Father, Antonio (rugby), was a national champion",Has a cold shower on the morning of a competition and talks to herself before fights,
1943504,SAMPAIO Patricia,SAMPAIO P,Patricia SAMPAIO,Female,Athlete,POR,Portugal,Portugal,Portugal,Portugal,POR,0,0,['Judo'],['Women -78 kg'],30-06-1999,TOMAR,Portugal,TOMAR,Portugal,"Sampas (in judo), Bebe (for a few close people, because she was considered the baby when entered the senior team), Patita (within the family)","Reading, spending time with her dogs and the family (close friends included), being lazy while scrolling through Instagram, catching the sun, watching YouTube videos and listening to podcasts","Athlete, student","Sciences of Communication at the Faculty of Social and Human Sciences (Lisbon, POR). Two out of three years completed","Father, Joao. Mother, Teresa. Older brother, Igor","English, French, Italian, Portuguese, Spanish","National: Marco Morais (POR).<br>Personal: Igor Sampaio (POR).</p><p>At the Olympic Games, Marco will serve as a coach, while Igor will be in the stands",Her brother Igor (coach) is eight years older and has been practising judo since he was five years old. Followed him into the sport,"Her brother Igor.</p><p>Judoka Kayla Harrison (USA), two-time Olympic -78kg champion (2012, 2016), three-time world championship medallist (one gold, two bronze). In 2016, she moved into  mixed martial arts and won the 2019 Professional Fighters League (PFL) lightweight title","""My mother is my example of (a) mother and woman, and a big inspiration for life. My brother was my first idol and role model. My coach, Marco, has a major influence on my results, growth and mental toughness. My best friend, Maria Siderot, is my example of resilience and hard work."" (Athlete, 20 Mar 2024)",Invictus by William Ernest Henley,Her father was a football player and her brother was a national-level judoka,"Roaring before fights, wearing a specific competition outfit, her coach Marco wearing lucky socks she gave him and always doing the same warm-up",
1943505,NUNES Rochele,NUNES R,Rochele NUNES,Female,Athlete,POR,Portugal,Portugal,Portugal,Portugal,POR,0,0,['Judo'],['Women +78 kg'],19-06-1989,PELOTAS,Brazil,LISBON,Portugal,Beyonce,"""I love cooking, dancing and watching movies and concerts."" (Athlete, 27 Mar 2024)",Athlete,Master's in Sports Event Management with a specialisation in Socio-Cultural Animation,"Husband, Felipe Quadros (also a black belt in judo)","English, Portuguese, spanish",National: Ana Hormigo (POR),"""Because my brother did judo, I did ballet, but I was not very good at it."" (Athlete, 27 Mar 2024)","Racing driver Ayrton Senna (BRA), three-time Formula One champion.</p><p>Footballer Cristiano Ronaldo (POR), won five Champions Leagues, seven league titles and five Ballon d’Or awards during his time at Manchester United, Real Madrid and Juventus. Won Euro 2016 with Portugal and is international football’s all-time top scorer and appearance maker.</p><p>Judoka Telma Monteiro (POR), 2016 Olympic -57kg bronze medallist, five-time Olympian (2004, 2008, 2012, 2016, 2020), five-time world championship medallist (four silver, one bronze)","""Beyonce - she is a great woman, she is black, has a big family, works a lot and is the best singer and dancer."" (Athlete, 27 Mar 2024)",Just be friendly,,"""I just need to feel pretty with my hair and nails."" (Athlete, 27 Mar 2024)",
1953827,FERREIRA Natasha,FERREIRA N,Natasha FERREIRA,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0,0,['Judo'],['Women -48 kg'],01-06-1999,CURITIBA,Brazil,CURITIBA,Brazil,Nat,"Watching TV series, talking to friends, writing and playing with her son Enzo","Athlete, psychologist, mother, writer and navy third sergeant",Graduated in 2022 in Psychology at UNIDomBosco (BRA),"Son, Enzo Miguel. Mother, Janaina Padilha. Older sister, Amanda Padilha. Younger brother, Guilherme Padilha",Portuguese,National: Andrea Berti and Sarah Menezes.<br>Club: Henrique Augusto Miniskowsky da Silva,She wanted to do everything her older sister Janaina did,"Judoka Ryoko Tamura-Tani (JPN), one of the few women to have won medals at five consecutive Olympic Games from 1992-2008 (two gold, two silver, one bronze), eight-time world championship medallist (seven gold, one bronze)","Coach Henrique Miniskowsky. ""He inspires me to do my best and overcome my limits."" (Athlete, 30 Apr 2024)","""When it comes to commitment, effort, dedication, there is no middle ground. Either you do something well or you don't do it."" By Ayrton Senna","""My older sister did judo too and was state champion. My son does judo and likes to compete."" (Athlete, 30 Apr 2024)","""I like to do the same sequence of strikes on the edge of the shiai-jo and always wear the same clothes under the judogi, and do my mental preparation sequence."" (Athlete, 30 Apr 2024)",
1953832,MACEDO Rafael,MACEDO R,Rafael MACEDO,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0,0,['Judo'],"['Men -90 kg', 'Mixed Team']",15-08-1994,S?O JOS? DOS CAMPOS - SAO PAULO,Brazil,PORTO ALEGRE,Brazil,Rafa,"Being with family, going to parks and the beach, eating barbecue",Athlete,"Graduated in Physical Education at Sogipa College, Porto Alegre (BRA)","Wife, Manoella. Father, Jefferson Macedo. Mother, Ana. Brother, Joao","English, Portuguese",National/Club: Antonio Carlos Pereira (BRA),"His father, a black belt, signed him up for judo classes so he could learn about martial arts and discipline","Racing car driver Ayrton Senna (BRA), three-time Formula One champion (1988, 1990, 1991)","His wife. ""She is my base, supports me and is by my side at all times, good and bad."" (Athlete, 14 Jun 2024)","""Be a good and humble person, regardless of life's situations, live life with lightness and joy."" (Athlete, 14 Jun 2024)","Wife, Manoella Macedo (nee Costa, judo), has competed at elite level on the World Tour.</p><p>Brother, Joao Macedo (judo), competes at international level for Brazil",Prayer and meditation,
1955520,BEAUCHEMIN-PINARD Catherine,BEAUCHEMIN-PINARD,Catherine BEAUCHEMIN-PINARD,Female,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0,0,['Judo'],"['Women -63 kg', 'Mixed Team']",26-06-1994,SAINT-HUBERT,Canada,"MONTR?AL, QC",Canada,"Cath, Cath BP","Cooking, road cycling, hiking, camping","Athlete, student","BSc in Accounting and Hospitality Management, Tourism at University of Quebec (Montreal, QC, CAN)","Partner, Jasmin Beaudry. Father, Michel. Mother, Linda. Older sister, Patricia. Older brother, Frederic","English, French",National: Antoine Valois-Fortier (CAN),"""I didn't know which sport to practise when I was young. I tried trampoline, soccer, and dance before starting judo. I read about (Canadian judoka, two-time Olympic medallist)) Nicolas Gill when I was nine years old in my French class. When I got home, I asked my parents to sign me up for judo."" (Athlete, 25 Mar 2024)","Judoka Nicolas Gill (CAN), two-time Olympic medallist (2000 silver, 1992 bronze), three-time world championship medallist (one silver, two bronze).</p><p>Judoka Marie-Helene Chisholm (CAN), 2004 Olympian (fifth).</p><p>Judoka Antoine Valois-Fortier (CAN), 2012 Olympic bronze medallist (-81kg), three-time world championship medallist (one silver, two bronze)","""My coaches throughout my career have guided me at different stages of my life to become the person/athlete I am. I prefer to say that my former coaches, they are good examples or model. They accomplished things that are inspiring. Like Nicolas Gill and Antoine Valois-Fortier. Marie-Helene Chisholm was a good example for female athletes and was my first coach on the national team."" (Athlete, 25 Mar 2024)","""If you don't try, you'll never know.""</p><p>""Efforts are rewarded.""</p><p>""Who wants to travel far, spares his mount."" (Athlete, 25 Mar 2024)","Father Michel (pole vault), former Quebec record holder","""I don't really have any superstitions, but I base my confidence in competition on the work I've done in preparation for it. If I know I've trained well, managed my weight properly, rested adequately, and done my homework (video analysis), then all that's left is to enjoy myself during competition day."" (Athlete, 25 Mar 2024)",
1955527,MARGELIDON Arthur,MARGELIDON A,Arthur MARGELIDON,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0,0,['Judo'],"['Men -73 kg', 'Mixed Team']",12-10-1993,PARIS,France,MONTREAL,Canada,"Tutur, megalodon",Hockey,Student,University,"Wife, Emily Burt. Father, Laurent. Mother, Cecile. Two siblings, Dorian and Lola (twins)","English, French",National: Antoine Valois-Fortier (CAN).<br>Personal: Laurent Margelidon (CAN) - his father,"His father was passionate about the sport, and introduced his son to it. ""I then started to love the sport as well and wanted to excel at it."" (Athlete, 6 Jun 2024)","Boxer Muhammad Ali, born Cassius Clay (USA), former undisputed heavyweight champion of the world, 1960 Olympic champion (light heavyweight), nicknamed 'The Greatest' and regarded as one of the most significant sports figures of the 20th century","His father. ""He always pushed me to surpass my limit."" (Athlete, 6 Jun 2024)","""You either suffer on the way to success or risk of being hunted by regrets."" (Athlete, 6 Jun 2024)","Wife, Emily Burt (judo), represented Canada at international level",He always makes the same entry onto the mat,
1955528,PORTUONDO ISASI Ana Laura,PORTUONDO ISASI AL,Ana Laura PORTUONDO ISASI,Female,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0,0,['Judo'],"['Women +78 kg', 'Mixed Team']",09-03-1996,MATANZAS,Cuba,"LA PRAIRIE, QC",Canada,Ana,"Cinema, hiking, skating, tennis",Transactional fraud investigator,Degree in Criminology and Victimology,"Father, Luis Guillermo Portuondo Fernandez. Mother, Lazara Adneris Isasi Oviedo. Sister, Adriana. Brother, Reyluis","English, French, Spanish",Faycal Bousbiat (CAN),"Previously a gymnast, her father wanted his daughters to learn to defend themselves. ""That was his main aim. I didn't really like the sport until I got my first taste of competition. It sort of awakened something in me, a passion, a desire to prove that I could be the best. I lost my first competition and it was at that precise moment that I knew I wanted to do it again, because I wanted more. I quickly fell in love with judo through competition."" (Athlete, 14 Jun 2024)","Judoka Kayla Harrison (USA), two-time Olympic -78kg champion (2012, 2016), three-time world championship medallist (one gold, two bronze). In 2016, she moved into  mixed martial arts and won the 2019 Professional Fighters League (PFL) lightweight title.</p><p>Judoka Idalys Ortiz (CUB), four-time consecutive Olympic heavyweight medallist from 2008 to 2020 (one gold, two silver, one bronze), eight-time world championship medallist (two gold, two silver, four bronze). </p><p>Judoka Driulis Gonzalez (CUB), four-time Olympic medallist (one gold, one silver, two bronze), five-time Olympian (1992, 1996, 2000, 2004, 2008), seven-time world championship medallist (three gold, two silver, two bronze)","Coach Faycal Bousbiat (CAN). ""He's one of the wisest and calmest people I know. My trainer is like a third parent to me. I've known him since I was a teenager, and those were years that shaped my personality and my career too. He's always been there for me, always helped me understand how to deal with stressful and difficult situations. He taught me to be in control of my emotions and my stress, whatever the situation in life."" (Athlete, 14 Jun 2024)","""Former national coach Jeremy Lebris (CAN) used to say to me, 'We fight to the end. Right to the end, Ana. Until the end'. You give everything in a fight. You never give up."" (Athlete, 14 Jun 2024)","Sister, Adriana Portuondo Isasi (judo), competed for Canada at junior world championships","""Visualisation. Law of attraction. I believe in positive thinking."" (Athlete, 14 Jun 2024)","She started doing gymnastics, and then played football (soccer) until the age of 15 before giving it up to concentrate fully on judo"
1968646,BAYANMUNKH Narmandakh,BAYANMUNKH N,Narmandakh BAYANMUNKH,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,0,0,['Judo'],['Men -66 kg'],11-05-2000,ULAANBAATAR,Mongolia,ABU DHABI,UA Emirates,Narka,"Esports-CS2 (Counter Strike video game), hiking, walking, football, food",Psychologist and athlete,Bachelor's degree in Psychology in 2021,"Mother, father, one younger brother","English, Mongolian",National: Victor Scvortov (MDA),Started judo for his health,"Mixed martial artist Conor McGregor (IRL), Ultimate Fighting Championship (UFC) featherweight and lightweight champion, becoming the first UFC fighter to hold UFC championships in two weight classes simultaneously in 2016.</p><p>Judoka Victor Scvortov (UAE), two-time Olympian (2016, 2020), 2014 World Championships bronze medallist (-73kg), coach of United Arab Emirates (UAE) national team","""My coach Victor Scvortov, he is my hero, his behaviour and vision, way he interacts with other people I like most."" (Athlete, 7 May 2024)","""I just believe in God, but I'm not religious."" (Athlete, 7 May 2024)",His father was a national wrestler,,
1978759,WHITEBOOI Geronay,WHITEBOOI G,Geronay WHITEBOOI,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,0,0,['Judo'],['Women -48 kg'],02-01-1996,PORT ELIZABETH,South Africa,PORT ELIZABETH,South Africa,Michaela,"Hiking, socialising and baking",Athlete,Internal Auditing degree at University of Pretoria (RSA),"Mother, Minnie. One older sister, one younger sister","Afrikaans, English",Rene William Matike Ndoumbe,"She became interested in the sport after accompanying a friend to training. ""I immediately got drawn into what they were doing. I got a sign-up form, asked my mum to sign it for me, and I started straight away. It looked cool and I stayed because I was learning fast and winning medals."" (Athlete 25 Mar 2024)","Middle-distance runner Caster Semenya (RSA), two-time Olympic 800m champion (2012, 2016), three-time world champion (2009, 2011, 2017).</p><p>""She is more than just an athlete, her titles speaks for her sports but she is a hero for fighting for her rights."" (Athlete 3 Apr 2024)","Her mother. ""She is and will forever be my role model. She played sports in her younger days and she was very good at netball and athletics. She is my true idol.""","""I had to learn that you win some, you lose some, but at the end of the end it is what makes you happy in your progress towards your end goal."" (Athlete, 25 Mar 2024)",,"""God is my way, truth and light."" (Athlete, 25 Mar 2024)",
1979680,NAJAFOV Yashar,NAJAFOV Y,Yashar NAJAFOV,Male,Athlete,AZE,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,AZE,0,0,['Judo'],['Men -66 kg'],09-06-1999,ARXANGELSK,Azerbaijan,BAKU,Azerbaijan,Yashka,"Walking, driving",Athlete,Azerbaijan State Academy of Physical Education and Sport (AZE),"Father, Asaf. Mother, Hicran Najafova. Older brother, Anar Najafli","Azerbaijan, English",Personal: Xalid Abbasov (AZE).<br>National: Richard Trautmann (GER),"""In 2008, Elnur Mammadli (AZE) became an Olympic champion. He is my inspiration. Because of him, I started judo."" (Athlete, 28 Mar 2024)","Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze)","""My family, especially my mother."" (Athlete, 28 Mar 2024)","""Those who want it, win - no excuses."" (Athlete, 28 Mar 2024)",,"""I pray only to God and all my faith is in him."" (Athlete, 28 Mar 2024)",
4982762,HOMAN Khrystyna,HOMAN K,Khrystyna HOMAN,Female,Athlete,UKR,Ukraine,Ukraine,Ukraine,Ukraine,UKR,0,0,['Judo'],['Women +78 kg'],31-01-1999,SLAVUTYCH,Ukraine,KIEV,Ukraine,Danger,"Playing the guitar, eating delicious food, playing basketball",Athlete,Graduated with a Bachelor's degree in Physical Culture and Sports in December 2021,Mother and one younger brother,Ukrainian,National: Quedjau Nhabali (UKR).<br>Personal: Oleg Kopylov (UKR).<br>Club: Sergey Dubrova (UKR),Because her mother raised the idea,,"""Quedjau Nhabali is always there with the right words. Oleg Kopylov is the first coach whose opinion is important to me."" (Athlete, 9 Jul 2024)",,,,She likes MMA
